Delivery Date,Hour Ending,Price,Time_Index,Date,Year
10/05/2018,17:00,66.96,6664,2018-10-05 15:00:00,2018
03/24/2018,17:00,66.76,1984,2018-03-24 15:00:00,2018
02/08/2018,07:00,66.75,919,2018-02-08 06:00:00,2018
05/22/2018,16:00,66.7,3399,2018-05-22 14:00:00,2018
11/26/2018,07:00,66.66,7903,2018-11-26 06:00:00,2018
10/05/2018,16:00,66.49,6663,2018-10-05 14:00:00,2018
01/01/2018,19:00,66.36,19,2018-01-01 18:00:00,2018
01/03/2018,10:00,66.33,58,2018-01-03 09:00:00,2018
01/24/2018,07:00,66.23,559,2018-01-24 06:00:00,2018
11/23/2018,18:00,65.71,7842,2018-11-23 17:00:00,2018
08/26/2018,16:00,65.53,5703,2018-08-26 14:00:00,2018
01/03/2018,20:00,65.53,68,2018-01-03 19:00:00,2018
05/18/2018,15:00,65.5,3302,2018-05-18 13:00:00,2018
06/08/2018,17:00,65.46,3808,2018-06-08 15:00:00,2018
09/16/2018,16:00,65.44,6207,2018-09-16 14:00:00,2018
08/31/2018,17:00,65.35,5824,2018-08-31 15:00:00,2018
01/03/2018,21:00,65.28,69,2018-01-03 20:00:00,2018
10/08/2018,16:00,65.26,6735,2018-10-08 14:00:00,2018
06/09/2018,17:00,65.21,3832,2018-06-09 15:00:00,2018
08/15/2018,16:00,65.15,5439,2018-08-15 14:00:00,2018
06/11/2018,16:00,65.13,3879,2018-06-11 14:00:00,2018
10/28/2018,16:00,64.8,7215,2018-10-28 14:00:00,2018
05/28/2018,18:00,64.79,3545,2018-05-28 16:00:00,2018
01/17/2018,01:00,64.76,385,2018-01-17 00:00:00,2018
12/09/2018,19:00,64.76,8227,2018-12-09 18:00:00,2018
07/14/2018,17:00,64.69,4672,2018-07-14 15:00:00,2018
07/13/2018,17:00,64.67,4648,2018-07-13 15:00:00,2018
10/06/2018,15:00,64.63,6686,2018-10-06 13:00:00,2018
01/17/2018,13:00,64.61,397,2018-01-17 12:00:00,2018
07/16/2018,15:00,64.51,4718,2018-07-16 13:00:00,2018
08/17/2018,14:00,64.43,5485,2018-08-17 12:00:00,2018
05/27/2018,15:00,64.4,3518,2018-05-27 13:00:00,2018
11/14/2018,19:00,64.35,7627,2018-11-14 18:00:00,2018
06/09/2018,16:00,64.27,3831,2018-06-09 14:00:00,2018
05/06/2018,17:00,64.24,3016,2018-05-06 15:00:00,2018
01/17/2018,03:00,64.19,387,2018-01-17 02:00:00,2018
12/09/2018,18:00,64.16,8226,2018-12-09 17:00:00,2018
11/13/2018,21:00,64.16,7605,2018-11-13 20:00:00,2018
08/21/2018,14:00,64.08,5581,2018-08-21 12:00:00,2018
07/29/2018,14:00,64.05,5029,2018-07-29 12:00:00,2018
11/07/2018,18:00,64.04,7458,2018-11-07 17:00:00,2018
06/25/2018,17:00,64.04,4216,2018-06-25 15:00:00,2018
08/27/2018,17:00,64.0,5728,2018-08-27 15:00:00,2018
11/20/2018,07:00,63.97,7759,2018-11-20 06:00:00,2018
01/01/2018,10:00,63.95,10,2018-01-01 09:00:00,2018
07/01/2018,18:00,63.94,4361,2018-07-01 16:00:00,2018
08/31/2018,16:00,63.88,5823,2018-08-31 14:00:00,2018
05/26/2018,14:00,63.83,3493,2018-05-26 12:00:00,2018
06/21/2018,18:00,63.81,4121,2018-06-21 16:00:00,2018
12/05/2018,07:00,63.77,8119,2018-12-05 06:00:00,2018
06/22/2018,15:00,63.77,4142,2018-06-22 13:00:00,2018
10/07/2018,16:00,63.75,6711,2018-10-07 14:00:00,2018
06/27/2018,18:00,63.73,4265,2018-06-27 16:00:00,2018
08/08/2018,15:00,63.63,5270,2018-08-08 13:00:00,2018
08/16/2018,15:00,63.62,5462,2018-08-16 13:00:00,2018
07/28/2018,14:00,63.52,5005,2018-07-28 12:00:00,2018
05/27/2018,18:00,63.5,3521,2018-05-27 16:00:00,2018
08/25/2018,15:00,63.42,5678,2018-08-25 13:00:00,2018
07/31/2018,17:00,63.39,5080,2018-07-31 15:00:00,2018
06/04/2018,17:00,63.32,3712,2018-06-04 15:00:00,2018
06/08/2018,16:00,63.25,3807,2018-06-08 14:00:00,2018
07/06/2018,16:00,63.24,4479,2018-07-06 14:00:00,2018
07/01/2018,16:00,63.24,4359,2018-07-01 14:00:00,2018
09/01/2018,17:00,63.15,5848,2018-09-01 15:00:00,2018
10/09/2018,16:00,63.09,6759,2018-10-09 14:00:00,2018
08/31/2018,15:00,63.07,5822,2018-08-31 13:00:00,2018
11/13/2018,18:00,63.04,7602,2018-11-13 17:00:00,2018
08/22/2018,18:00,63.03,5609,2018-08-22 16:00:00,2018
01/17/2018,02:00,63.0,386,2018-01-17 01:00:00,2018
08/19/2018,16:00,62.99,5535,2018-08-19 14:00:00,2018
01/17/2018,22:00,62.88,406,2018-01-17 21:00:00,2018
03/24/2018,16:00,62.83,1983,2018-03-24 14:00:00,2018
10/02/2018,16:00,62.74,6591,2018-10-02 14:00:00,2018
05/07/2018,17:00,62.64,3040,2018-05-07 15:00:00,2018
05/14/2018,17:00,62.6,3208,2018-05-14 15:00:00,2018
10/07/2018,17:00,62.58,6712,2018-10-07 15:00:00,2018
06/12/2018,16:00,62.56,3903,2018-06-12 14:00:00,2018
06/26/2018,17:00,62.41,4240,2018-06-26 15:00:00,2018
08/01/2018,15:00,62.4,5102,2018-08-01 13:00:00,2018
10/09/2018,17:00,62.37,6760,2018-10-09 15:00:00,2018
10/28/2018,17:00,62.34,7216,2018-10-28 15:00:00,2018
10/03/2018,17:00,62.29,6616,2018-10-03 15:00:00,2018
11/14/2018,20:00,62.27,7628,2018-11-14 19:00:00,2018
06/04/2018,16:00,62.04,3711,2018-06-04 14:00:00,2018
08/06/2018,17:00,62.0,5224,2018-08-06 15:00:00,2018
09/01/2018,15:00,61.98,5846,2018-09-01 13:00:00,2018
08/23/2018,15:00,61.68,5630,2018-08-23 13:00:00,2018
11/05/2018,18:00,61.61,7410,2018-11-05 17:00:00,2018
01/01/2018,20:00,61.6,20,2018-01-01 19:00:00,2018
03/05/2018,19:00,61.5,1531,2018-03-05 18:00:00,2018
09/17/2018,15:00,61.45,6230,2018-09-17 13:00:00,2018
02/21/2018,19:00,61.44,1243,2018-02-21 18:00:00,2018
12/08/2018,19:00,61.26,8203,2018-12-08 18:00:00,2018
09/02/2018,16:00,61.25,5871,2018-09-02 14:00:00,2018
