Day,2012Spearman daily,2013Spearman daily,2014Spearman daily,2015Spearman daily,2016Spearman daily,2017Spearman daily,2018Spearman daily,2019Spearman daily,2020Spearman daily,2021Spearman daily
61,,,,,,,,0.5862779699760385,,
61,,,,,,,,,0.6324804744783692,
61,,,,,,,,,,0.9313521578851831
62,0.8751367779319456,,,,,,,,,
62,,0.7761694171219041,,,,,,,,
62,,,0.8824403788518457,,,,,,,
62,,,,0.15324895501719366,,,,,,
62,,,,,0.7486293140148679,,,,,
62,,,,,,0.9155302122353048,,,,
62,,,,,,,0.8597500350884089,,,
62,,,,,,,,0.8589141650171574,,
62,,,,,,,,,0.8726088316904848,
62,,,,,,,,,,0.41107780949741696
63,0.9293111027203894,,,,,,,,,
63,,0.6590914942461923,,,,,,,,
63,,,0.683601452450539,,,,,,,
63,,,,0.7139241495884453,,,,,,
63,,,,,0.9026258378989157,,,,,
63,,,,,,0.9439882093772295,,,,
63,,,,,,,0.9433638287188371,,,
63,,,,,,,,0.9153989449538021,,
63,,,,,,,,,0.9267815075173846,
63,,,,,,,,,,0.8072803518581161
64,0.8440975894352455,,,,,,,,,
64,,0.8116380413916368,,,,,,,,
64,,,0.7301505207971929,,,,,,,
64,,,,0.7514828476063988,,,,,,
64,,,,,0.8692855715963624,,,,,
64,,,,,,0.8441195042293556,,,,
64,,,,,,,0.8410346394355996,,,
64,,,,,,,,0.8944341229050933,,
64,,,,,,,,,0.8140923533857549,
64,,,,,,,,,,0.5299216645382453
65,0.8361431861186673,,,,,,,,,
65,,0.8353826717032252,,,,,,,,
65,,,0.6430610818339167,,,,,,,
65,,,,0.8842799035541635,,,,,,
65,,,,,0.9110590310770237,,,,,
65,,,,,,0.940159392427597,,,,
65,,,,,,,0.8540327252362363,,,
65,,,,,,,,0.891933765035179,,
65,,,,,,,,,0.668284103956345,
65,,,,,,,,,,0.7975534195098056
66,0.5576305373783224,,,,,,,,,
66,,0.8651523465514683,,,,,,,,
66,,,0.616925243884247,,,,,,,
66,,,,0.7235743637529499,,,,,,
66,,,,,0.7314222905097307,,,,,
66,,,,,,0.8740325885128959,,,,
66,,,,,,,0.8395663322299939,,,
66,,,,,,,,0.9482450272639189,,
66,,,,,,,,,0.8254295565178581,
66,,,,,,,,,,0.9006770125438801
67,0.8239722410517276,,,,,,,,,
67,,0.8169535714779514,,,,,,,,
67,,,0.6722176922617176,,,,,,,
67,,,,0.5484826823645429,,,,,,
67,,,,,0.8080159609667462,,,,,
67,,,,,,0.8676164205791008,,,,
67,,,,,,,0.7997893618397858,,,
67,,,,,,,,0.9641103383452292,,
67,,,,,,,,,0.8950737565135808,
67,,,,,,,,,,0.39363128996169316
68,0.8162654951757428,,,,,,,,,
68,,0.5636878012470018,,,,,,,,
68,,,0.6536965995609757,,,,,,,
68,,,,0.7402318063554942,,,,,,
